City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Campbell River,CA,50.0163,-125.2446,63.45,67,75,13.8,broken clouds
163,Atar,MR,20.5169,-13.0499,95.49,15,9,10.78,clear sky
164,Wairoa,NZ,-39.0333,177.3667,58.55,75,96,4.0,moderate rain
165,Sambava,MG,-14.2667,50.1667,69.28,84,82,12.73,broken clouds
166,Le Port,RE,-20.9373,55.2919,67.96,75,55,5.37,broken clouds
167,Uglich,RU,57.5275,38.3317,49.55,91,8,5.86,clear sky
168,Celestun,MX,20.8667,-90.4,83.8,69,11,14.67,few clouds
169,Yulara,AU,-25.2406,130.9889,45.68,63,3,7.2,clear sky
170,Ambilobe,MG,-13.2,49.05,66.54,84,35,3.53,scattered clouds
171,Arroyo,ES,41.6096,-4.7969,68.04,68,20,10.36,few clouds
172,Meridian,US,43.6121,-116.3915,87.85,39,20,10.36,few clouds
173,Honningsvag,NO,70.9821,25.9704,49.75,93,100,2.3,overcast clouds
174,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,77,0,17.27,clear sky
175,Shirokiy,RU,49.758,129.523,64.98,68,3,5.3,clear sky
176,Nuevo Progreso,MX,23.1667,-97.95,93.54,50,0,4.0,clear sky
177,Dikson,RU,73.5069,80.5464,39.11,80,100,9.4,overcast clouds
178,Beyneu,KZ,45.3167,55.2,73.69,39,0,8.84,clear sky
179,Valparaiso,CL,-33.0393,-71.6273,54.48,92,100,6.91,fog
180,Todos Santos,MX,23.45,-110.2167,75.0,60,5,7.49,clear sky
181,Upernavik,GL,72.7868,-56.1549,30.43,80,48,15.17,scattered clouds
182,Cayenne,GF,4.9333,-52.3333,81.09,1,0,4.61,clear sky
183,Urengoy,RU,65.9667,78.3667,62.44,61,99,17.47,overcast clouds
184,Cabo San Lucas,MX,22.8909,-109.9124,92.61,61,3,14.92,clear sky
185,Malakal,SS,9.5334,31.6605,79.25,56,99,3.24,overcast clouds
186,Kudahuvadhoo,MV,2.6708,72.8944,82.17,75,100,11.01,overcast clouds
187,Pueblo,US,38.2545,-104.6091,102.49,15,0,6.91,clear sky
188,Sicula,RO,46.4333,21.75,68.0,89,54,10.45,broken clouds
189,Belgaum,IN,15.8667,74.5,69.28,91,99,5.68,overcast clouds
190,Lebu,CL,-37.6167,-73.65,50.22,82,100,3.31,overcast clouds
191,Tandil,AR,-37.3217,-59.1332,39.69,46,21,3.65,few clouds
192,Bowen,AU,-20.0167,148.2333,59.29,57,100,5.73,overcast clouds
193,Tasiilaq,GL,65.6145,-37.6368,37.56,72,8,0.98,clear sky
194,Nuuk,GL,64.1835,-51.7216,47.01,71,100,10.36,overcast clouds
195,Waingapu,ID,-9.6567,120.2641,77.04,82,96,11.25,overcast clouds
196,Constitucion,CL,-35.3333,-72.4167,51.94,66,55,1.21,broken clouds
197,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,60.78,51,0,4.47,clear sky
